form	lemma	POS	morph
		
		
ཇུ་	ཇུ་	NO_POS
		
ཅུཇིནེནེེཅེ༷ཤེ་		NON_WORD
		
བྱེཝག་		NON_WORD
ཝཝདྭོ་		NON_WORD
།		PUNCT
བྱེདི་		NON_WORD
རྨེ་	རྨེ་	NO_POS
		
་།།		PUNCT
		
ཏྲེསྙེཟེཧེཝ༷རིཀརྫིཏྭེཆོནོརྗོཀྱིརིགྱི༷་		NON_WORD
		
ཝ་	ཝ་	OTHER
		
མིཀོ་		NON_WORD
		
གཪྴ་		NON_WORD
		
ག་	ག་	PRON
		
		
༷ཛྷཝ་		NON_WORD
ཛིཏྲཱི་		NON_WORD
		
ཀྱིགིདྷེཝ་		NON_WORD
		
།		PUNCT
		
ཅི་	ཅི་	NO_POS
		
༷ནོཆི་		NON_WORD
		
རྐ་	རྐ་	NO_POS
རྩྭ་	རྩྭ་	NOUN
།་		PUNCT
		
རྂ་		NON_WORD
		
ཟློརྨིཛོ་		NON_WORD
ཥྚི་		NON_WORD
		
ཝངྷྲུསྩེདཱི་		NON_WORD
		
།		PUNCT
		
དུདི་		NON_WORD
		
ཅིཇརྫོ་		NON_WORD
		
ཧཱུཾཛྲ་		NON_WORD
།		PUNCT
རྔོོངྷྲུ༷ཅི་		NON_WORD
		
		
ཉནེལྕེསྐུ་		NON_WORD
ད་	ད་	ADV
		
		
སྒྱུསྤྱོ་		NON_WORD
		
ལྷ་	ལྷ་	NOUN
།		PUNCT
ཤེརྩིཨཽསྒྱུ་		NON_WORD
སབ་པོ་	སབ་པོ་	NO_POS
པ་	པ་	PART
གླུསིརྩེ་		NON_WORD
		
གྱིནོ་		NON_WORD
		
མི་	མི་	PART
		
བསསོ་		NON_WORD
་༈་		PUNCT
ཙོསཔ་		NON_WORD
ཉི་	ཉི་	NUM
ཝཱིམ་		NON_WORD
གྱིསཚོམས་		NON_WORD
།		PUNCT
དཔལ་	དཔལ་	OTHER
བརྩེགས་	བརྩེགས་	NO_POS
བོད་ཡིག་	བོད་ཡིག་	NOUN
དཔེ་	དཔེ་	NOUN
རྙིང་	རྙིང་	NO_POS
སྟོ་	སྟོ་	NO_POS
ཝཱིག་		NON_WORD
ཁང་	ཁང་	NOUN
ན་	ནས་	PART
ཚྭགས་		NON_WORD
། ་		PUNCT
བོད་	བོད་	PROPN
ལྗོངསམི་		NON_WORD
དམངས་	དམངས་	NOUN
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཁང་	ཁང་	NOUN
། ་		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
འོད་སྣང་	འོད་སྣང་	OTHER
གི་	གི་	PART
དཔེ་	དཔེ་	NOUN
ཚོགས་	ཚོགས་	NOUN
བསྡུ་	བསྡུ་	VERB
སྒྲིག་	སྒྲིག་	VERB
ལས་མི་	ལས་མི་	NOUN
འི་	གི་	PART
མཚན་	མཚན་	NOUN
ཐོ་	ཐོ་	NOUN
།་		PUNCT
སྤྱི་ཁྱབ་	སྤྱི་ཁྱབ་	OTHER
བསྡུ་	བསྡུ་	VERB
སྒྲིག་	སྒྲིག་	VERB
འགན་ཁུར་བ་	འགན་ཁུར་བ་	NO_POS
གཙོ་བོ་	གཙོ་བོ་	ADJ
།		PUNCT
གཟན་	གཟན་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཐུབ་བསྟན་	ཐུབ་བསྟན་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
